"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L2675","SettingItem createSettingItem(List<? extends ISystemSetting> systemSettings)","femr.common.IItemModelMapper.createSettingItem(Ljava/util/List;)Lfemr/common/models/SettingItem;","L1084","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\IItemModelMapper.java","164","5","164","82","0","0","0","0","0","0","0","0","1","0","0","1","0","0.857143","6","6","0.857143","6","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2846","TabItem createTabItem(String name, boolean isCustom, Integer leftColumnSize, Integer rightColumnSize)","femr.common.IItemModelMapper.createTabItem(Ljava/lang/String;ZLjava/lang/Integer;Ljava/lang/Integer;)Lfemr/common/models/TabItem;","L1084","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\IItemModelMapper.java","175","5","175","107","0","0","0","0","0","0","0","0","1","0","0","4","0","0.9","9","9","0.9","9","1","1","0","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1388","TabFieldItem createTabFieldItem(String name, String type, String size, Integer order, String placeholder, String value, String chiefComplaint, boolean isCustom)","femr.common.IItemModelMapper.createTabFieldItem(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/Integer;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Z)Lfemr/common/models/TabFieldItem;","L1084","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\IItemModelMapper.java","190","5","197","55","0","0","0","0","0","0","0","0","1","0","0","6","0","0.619048","13","13","0.619048","13","8","8","0","8","8","8","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L2970","TabFieldItem createTabFieldItem(String name, String type, String size, Integer order, String placeholder, String value, String chiefComplaint, boolean isCustom, String userName)","femr.common.IItemModelMapper.createTabFieldItem(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/Integer;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;ZLjava/lang/String;)Lfemr/common/models/TabFieldItem;","L1084","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\IItemModelMapper.java","213","5","221","54","0","0","0","0","0","0","0","0","1","0","0","2","0","0.608696","14","14","0.608696","14","9","9","0","9","9","9","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L1846","TeamItem createTeamItem(String name, String location, String description)","femr.common.IItemModelMapper.createTeamItem(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Lfemr/common/models/TeamItem;","L1084","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\IItemModelMapper.java","231","5","231","79","0","0","0","0","0","0","0","0","1","0","0","1","0","0.888889","8","8","0.888889","8","1","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1872","TripItem createTripItem(String teamName, String tripCity, String tripCountry, Date startDate, Date endDate)","femr.common.IItemModelMapper.createTripItem(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/util/Date;Ljava/util/Date;)Lfemr/common/models/TripItem;","L1084","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\IItemModelMapper.java","243","5","243","113","0","0","0","0","0","0","0","0","1","0","0","1","0","0.909091","10","10","0.909091","10","1","1","0","5","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1268","UserItem createUserItem(IUser user)","femr.common.IItemModelMapper.createUserItem(Lfemr/data/models/core/IUser;)Lfemr/common/models/UserItem;","L1084","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\IItemModelMapper.java","251","5","251","41","0","0","0","0","0","0","0","0","1","0","0","6","0","0.857143","6","6","0.857143","6","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3151","VitalItem createVitalItem(String name, Float value)","femr.common.IItemModelMapper.createVitalItem(Ljava/lang/String;Ljava/lang/Float;)Lfemr/common/models/VitalItem;","L1084","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\IItemModelMapper.java","260","5","260","57","0","0","0","0","0","0","0","0","1","0","0","3","0","0.875","7","7","0.875","7","1","1","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3339","CityItem createCityItem(String cityName, String countryName)","femr.common.ItemModelMapper.createCityItem(Ljava/lang/String;Ljava/lang/String;)Lfemr/common/models/CityItem;","L3336","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\ItemModelMapper.java","42","5","56","6","0","0","0","0","0","0","0","0","3","1","1","0","3","0.230769","3","3","0.230769","3","10","15","6","2","10","15","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3349","MedicationItem createMedicationItem(IMedication medication, Integer quantityCurrent, Integer quantityTotal, DateTime isDeleted)","femr.common.ItemModelMapper.createMedicationItem(LIMedication;LInteger;LInteger;LDateTime;)LMedicationItem;","L3336","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\ItemModelMapper.java","61","5","107","6","0","0","0","0","0","0","0","0","7","2","2","1","24","0.1","4","3","0.1","4","36","47","24","4","36","47","24","0","0","3","0","2","0","0","2","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3390","MissionItem createMissionItem(IMissionTeam missionTeam, List<MissionTripItem> missionTripItems)","femr.common.ItemModelMapper.createMissionItem(Lfemr/data/models/core/IMissionTeam;Ljava/util/List;)Lfemr/common/models/MissionItem;","L3336","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\ItemModelMapper.java","112","5","128","6","0.75","1","2","1","0.588235","0.583333","10","7","2","1","1","0","8","0.2","3","3","0.2","3","12","17","8","2","12","17","8","0","0","7","0","0","0","0","0","0","5","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3404","MissionTripItem createMissionTripItem(IMissionTrip missionTrip)","femr.common.ItemModelMapper.createMissionTripItem(Lfemr/data/models/core/IMissionTrip;)Lfemr/common/models/MissionTripItem;","L3336","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\ItemModelMapper.java","130","5","155","6","0","0","0","0","0","0","0","0","4","1","1","0","24","0","0","0","0","0","21","26","15","1","21","26","15","0","0","3","0","2","0","0","2","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3438","PatientItem createPatientItem(int id, String firstName, String lastName, String city, String address, int userId, Date age, String sex, Integer weeksPregnant, Integer heightFeet, Integer heightInches, Float weight, String pathToPatientPhoto, Integer photoId, String ageClassification)","femr.common.ItemModelMapper.createPatientItem(ILjava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;ILjava/util/Date;Ljava/lang/String;Ljava/lang/Integer;Ljava/lang/Integer;Ljava/lang/Integer;Ljava/lang/Float;Ljava/lang/String;Ljava/lang/Integer;Ljava/lang/String;)Lfemr/common/models/PatientItem;","L3336","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\ItemModelMapper.java","160","5","228","6","0.00452489","1","1","1","0.217391","0.277778","15","15","13","1","1","0","25","0.111111","7","3","0.111111","7","56","69","32","15","56","69","32","0","0","10","0","8","0","0","8","0","5","0","0","1","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L3497","PatientEncounterItem createPatientEncounterItem(IPatientEncounter patientEncounter)","femr.common.ItemModelMapper.createPatientEncounterItem(Lfemr/data/models/core/IPatientEncounter;)Lfemr/common/models/PatientEncounterItem;","L3336","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\ItemModelMapper.java","233","5","280","6","0","0","0","0","0","0","0","0","12","1","1","0","35","0.155556","7","3","0.155556","7","38","48","29","1","38","48","29","0","0","4","0","6","0","0","6","0","0","0","0","1","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3543","PhotoItem createPhotoItem(int id, String description, Date insertTimeStamp, String imageURL)","femr.common.ItemModelMapper.createPhotoItem(ILjava/lang/String;Ljava/util/Date;Ljava/lang/String;)Lfemr/common/models/PhotoItem;","L3336","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\ItemModelMapper.java","285","5","301","6","0","0","0","0","0","0","0","0","3","1","1","0","6","0.2","3","3","0.2","3","12","17","8","4","12","17","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3561","PrescriptionItem createPrescriptionItem(int id, String name, String originalMedicationName, String firstName, String lastName, IConceptPrescriptionAdministration medicationAdministration, Integer amount, IMedication medication, MedicationInventory medicationInventory, Boolean isCounseled)","femr.common.ItemModelMapper.createPrescriptionItem(ILjava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Lfemr/data/models/core/IConceptPrescriptionAdministration;Ljava/lang/Integer;Lfemr/data/models/core/IMedication;Lfemr/data/models/mysql/MedicationInventory;Ljava/lang/Boolean;)Lfemr/common/models/PrescriptionItem;","L3336","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\ItemModelMapper.java","306","5","354","6","0","0","0","0","0","0","0","0","10","2","2","0","25","0.0731707","3","3","0.0731707","3","38","49","28","10","38","49","28","0","0","4","0","6","0","0","6","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L3618","ProblemItem createProblemItem(String name)","femr.common.ItemModelMapper.createProblemItem(Ljava/lang/String;)Lfemr/common/models/ProblemItem;","L3336","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\ItemModelMapper.java","359","5","372","6","0","0","0","0","0","0","0","0","2","1","1","0","2","0.25","3","3","0.25","3","9","14","5","1","9","14","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3625","SettingItem createSettingItem(List<? extends ISystemSetting> systemSettings)","femr.common.ItemModelMapper.createSettingItem(Ljava/util/List;)Lfemr/common/models/SettingItem;","L3336","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\ItemModelMapper.java","377","5","411","6","0","0","0","0","0","0","0","0","10","4","3","0","8","0.114286","4","3","0.114286","4","31","35","19","1","31","35","19","0","0","2","2","1","0","0","1","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3642","TabItem createTabItem(String name, boolean isCustom, Integer leftColumnSize, Integer rightColumnSize)","femr.common.ItemModelMapper.createTabItem(Ljava/lang/String;ZLjava/lang/Integer;Ljava/lang/Integer;)Lfemr/common/models/TabItem;","L3336","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\ItemModelMapper.java","416","5","434","6","0","0","0","0","0","0","0","0","4","1","1","0","6","0.176471","3","3","0.176471","3","14","19","8","4","14","19","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3658","TabFieldItem createTabFieldItem(String name, String type, String size, Integer order, String placeholder, String value, String chiefComplaint, boolean isCustom)","femr.common.ItemModelMapper.createTabFieldItem(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/Integer;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Z)Lfemr/common/models/TabFieldItem;","L3336","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\ItemModelMapper.java","439","5","472","6","0","0","0","0","0","0","0","0","8","1","1","1","10","0.09375","3","3","0.09375","3","29","34","18","8","29","34","18","0","0","3","0","6","0","0","6","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L3686","TabFieldItem createTabFieldItem(String name, String type, String size, Integer order, String placeholder, String value, String chiefComplaint, boolean isCustom, String userName)","femr.common.ItemModelMapper.createTabFieldItem(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/Integer;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;ZLjava/lang/String;)Lfemr/common/models/TabFieldItem;","L3336","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\ItemModelMapper.java","477","5","491","6","0","0","0","0","0","0","0","0","2","1","1","0","3","0.166667","3","3","0.166667","3","15","15","4","9","15","15","4","0","0","3","0","1","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L3700","TeamItem createTeamItem(String name, String location, String description)","femr.common.ItemModelMapper.createTeamItem(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Lfemr/common/models/TeamItem;","L3336","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\ItemModelMapper.java","496","5","511","6","0","0","0","0","0","0","0","0","2","1","1","0","4","0.214286","3","3","0.214286","3","11","16","7","3","11","16","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3713","TripItem createTripItem(String teamName, String tripCity, String tripCountry, Date startDate, Date endDate)","femr.common.ItemModelMapper.createTripItem(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/util/Date;Ljava/util/Date;)Lfemr/common/models/TripItem;","L3336","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\ItemModelMapper.java","516","5","537","6","0","0","0","0","0","0","0","0","6","1","1","0","6","0.15","3","3","0.15","3","17","22","9","5","17","22","9","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3732","UserItem createUserItem(IUser user)","femr.common.ItemModelMapper.createUserItem(Lfemr/data/models/core/IUser;)Lfemr/common/models/UserItem;","L3336","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\ItemModelMapper.java","542","5","571","6","0.296296","2","4","2","0.366667","0.333333","11","8","5","2","2","0","28","0.172414","5","3","0.172414","5","24","30","18","1","24","30","18","0","0","8","0","0","0","0","0","0","5","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
